Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
G***,LOGO,logo,84.983338,-47.500000,0.000000,bottom
5.1K1,5.1K 0402 Resistor,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,289.400000,-38.650000,180.000000,top
5.1K2,5.1K 0402 Resistor,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,279.218668,-35.638728,0.000000,top
D_1,D,D_DO-35_SOD27_P7.62mm_Horizontal,103.000000,-56.500000,180.000000,top
D_2,D,D_DO-35_SOD27_P7.62mm_Horizontal,117.000000,-56.500000,180.000000,top
D_3,D,D_DO-35_SOD27_P7.62mm_Horizontal,131.000000,-56.500000,180.000000,top
D_4,D,D_DO-35_SOD27_P7.62mm_Horizontal,145.000000,-56.500000,180.000000,top
D_5,D,D_DO-35_SOD27_P7.62mm_Horizontal,159.000000,-56.500000,180.000000,top
D_6,D,D_DO-35_SOD27_P7.62mm_Horizontal,173.000000,-56.500000,180.000000,top
D_7,D,D_DO-35_SOD27_P7.62mm_Horizontal,187.000000,-56.500000,180.000000,top
D_8,D,D_DO-35_SOD27_P7.62mm_Horizontal,201.000000,-56.500000,180.000000,top
D_9,D,D_DO-35_SOD27_P7.62mm_Horizontal,215.000000,-56.500000,180.000000,top
D_10,D,D_DO-35_SOD27_P7.62mm_Horizontal,229.000000,-56.500000,180.000000,top
D_11,D,D_DO-35_SOD27_P7.62mm_Horizontal,243.000000,-56.500000,180.000000,top
D_12,D,D_DO-35_SOD27_P7.62mm_Horizontal,257.000000,-56.500000,180.000000,top
D_13,D,D_DO-35_SOD27_P7.62mm_Horizontal,271.000000,-56.500000,180.000000,top
D_13A1,D,D_DO-35_SOD27_P7.62mm_Horizontal,285.000000,-56.500000,180.000000,top
D_14,D,D_DO-35_SOD27_P7.62mm_Horizontal,299.000000,-56.500000,180.000000,top
D_15,D,D_DO-35_SOD27_P7.62mm_Horizontal,103.000000,-51.500000,180.000000,top
D_16,D,D_DO-35_SOD27_P7.62mm_Horizontal,131.000000,-51.500000,180.000000,top
D_17,D,D_DO-35_SOD27_P7.62mm_Horizontal,145.000000,-51.500000,180.000000,top
D_18,D,D_DO-35_SOD27_P7.62mm_Horizontal,159.000000,-51.500000,180.000000,top
D_19,D,D_DO-35_SOD27_P7.62mm_Horizontal,173.000000,-51.500000,180.000000,top
D_20,D,D_DO-35_SOD27_P7.62mm_Horizontal,187.000000,-51.500000,180.000000,top
D_21,D,D_DO-35_SOD27_P7.62mm_Horizontal,201.000000,-51.500000,180.000000,top
D_22,D,D_DO-35_SOD27_P7.62mm_Horizontal,215.000000,-51.500000,180.000000,top
D_23,D,D_DO-35_SOD27_P7.62mm_Horizontal,229.000000,-51.500000,180.000000,top
D_24,D,D_DO-35_SOD27_P7.62mm_Horizontal,243.000000,-51.500000,180.000000,top
D_25,D,D_DO-35_SOD27_P7.62mm_Horizontal,257.000000,-51.500000,180.000000,top
D_26,D,D_DO-35_SOD27_P7.62mm_Horizontal,271.000000,-51.500000,180.000000,top
D_27,D,D_DO-35_SOD27_P7.62mm_Horizontal,285.000000,-51.500000,180.000000,top
D_28,D,D_DO-35_SOD27_P7.62mm_Horizontal,299.008800,-51.562000,180.000000,top
D_29,D,D_DO-35_SOD27_P7.62mm_Horizontal,103.000000,-46.500000,180.000000,top
D_30,D,D_DO-35_SOD27_P7.62mm_Horizontal,131.000000,-46.500000,180.000000,top
D_31,D,D_DO-35_SOD27_P7.62mm_Horizontal,145.000000,-46.500000,180.000000,top
D_32,D,D_DO-35_SOD27_P7.62mm_Horizontal,159.000000,-46.500000,180.000000,top
D_33,D,D_DO-35_SOD27_P7.62mm_Horizontal,173.000000,-46.500000,180.000000,top
D_34,D,D_DO-35_SOD27_P7.62mm_Horizontal,187.000000,-46.500000,180.000000,top
D_35,D,D_DO-35_SOD27_P7.62mm_Horizontal,201.000000,-46.500000,180.000000,top
D_36,D,D_DO-35_SOD27_P7.62mm_Horizontal,215.000000,-46.500000,180.000000,top
D_37,D,D_DO-35_SOD27_P7.62mm_Horizontal,229.000000,-46.500000,180.000000,top
D_38,D,D_DO-35_SOD27_P7.62mm_Horizontal,243.000000,-46.500000,180.000000,top
D_39,D,D_DO-35_SOD27_P7.62mm_Horizontal,257.000000,-46.500000,180.000000,top
D_40,D,D_DO-35_SOD27_P7.62mm_Horizontal,271.000000,-46.500000,180.000000,top
D_41,D,D_DO-35_SOD27_P7.62mm_Horizontal,285.000000,-46.500000,180.000000,top
D_42,D,D_DO-35_SOD27_P7.62mm_Horizontal,299.000000,-46.500000,180.000000,top
D_43,D,D_DO-35_SOD27_P7.62mm_Horizontal,103.000000,-41.500000,180.000000,top
D_44,D,D_DO-35_SOD27_P7.62mm_Horizontal,117.000000,-41.500000,180.000000,top
