"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J1";"TestPoint_Pad_1.0x1.0mm";1;"TP3 Pad";;;
2;"J2";"TestPoint_Pad_1.0x1.0mm";1;"TP2 Pad";;;
3;"5.1K2,5.1K1";"R_0402_1005Metric";2;"5.1K 0402 Resistor";;;
4;"H11,H10,H9,H6,H4,H3,H2,H1";"MountingHole_2.2mm_M2";8;"MountingHole";;;
5;"U1";"RPi_Pico_SMD_TH";1;"Pico";;;
6;"G***";"diode";1;"LOGO";;;
7;"USB1";"HRO-TYPE-C-31-M-12";1;"HRO-TYPE-C-31-M-12";;;
8;"D_1,D_2,D_3,D_4,D_5,D_6,D_7,D_8,D_9,D_10,D_11,D_12,D_13,D_14,D_15,D_16,D_17,D_18,D_19,D_20,D_21,D_22,D_23,D_24,D_25,D_26,D_27,D_28,D_29,D_30,D_31,D_32,D_33,D_34,D_35,D_36,D_37,D_38,D_39,D_40,D_41,D_42,D_43,D_44,D_45,D_46,D_47,D_48,D_49,D_50,D_51,D_52,D_53,D_54,D_55,D_56,D_57,D_58,D_59,D_60,D_61,D_62,D_63";"D_DO-35_SOD27_P7.62mm_Horizontal";63;"D";;;
9;"K_44,K_29";"MXOnly-2.25U-NoLED";2;"KEYSW";;;
10;"K_28,K_15";"MXOnly-1.5U-NoLED";2;"KEYSW";;;
11;"G***";"logo";1;"LOGO";;;
12;"SW1";"Panasonic-EVQ-P7A01P-0-0-MFG";1;"EVQ-P7A01P";;;
13;"K_8,K_16,K_46,K_1,K_56,K_55,K_54,K_53,K_52,K_51,K_50,K_49,K_48,K_47,K_42,K_41,K_40,K_39,K_38,K_37,K_36,K_35,K_34,K_33,K_32,K_31,K_27,K_26,K_25,K_24,K_23,K_22,K_21,K_20,K_19,K_18,K_17,K_13,K_12,K_11,K_10,K_9,K_7,K_6,K_5,K_4,K_3,K_2";"MXOnly-1U-NoLED";48;"KEYSW";;;
14;"K_14";"MXOnly-2U-NoLED";1;"KEYSW";;;
15;"K_43";"MXOnly-ISO-ROTATED-ReversedStabilizers-NoLED";1;"KEYSW";;;
16;"K_45,K_58,K_62,K_65,K_64,K_63,K_60,K_59";"MXOnly-1.25U-NoLED";8;"KEYSW";;;
17;"K_57";"MXOnly-2.75U-NoLED";1;"KEYSW";;;
18;"K_61";"MXOnly-6.25U-ReversedStabilizers-NoLED";1;"KEYSW";;;
19;"K_30";"MXOnly-1.75U-NoLED";1;"KEYSW";;;
